Investment_Amount,Risk_Tolerance,Expected_Rate_of_Return,Investment_Type,Investment_Duration
5000,High,15.0,Stocks,Medium-term
15000,Medium,5.0,Insurance,Short-term
10000,Medium,5.0,Stocks,Short-term
20000,Medium,8.0,Mutual Funds,Long-term
5000,High,12.0,Stocks,Long-term
15000,Medium,8.0,Real Estate,Medium-term
15000,High,12.0,Real Estate,Short-term
10000,Low,5.0,Stocks,Long-term
20000,High,10.0,Fixed Deposit,Short-term
5000,High,15.0,Real Estate,Long-term
30000,Medium,6.0,Mutual Funds,Long-term
30000,Medium,5.0,Stocks,Short-term
25000,High,15.0,Insurance,Short-term
30000,High,15.0,Insurance,Long-term
5000,Medium,8.0,Insurance,Short-term
15000,High,10.0,Real Estate,Medium-term
5000,Low,4.5,Mutual Funds,Long-term
10000,Medium,7.0,Insurance,Short-term
30000,High,12.0,Fixed Deposit,Short-term
10000,High,10.0,Stocks,Long-term
5000,High,10.0,Real Estate,Short-term
25000,Low,5.0,Mutual Funds,Short-term
15000,High,12.0,Mutual Funds,Long-term
25000,Low,4.0,Mutual Funds,Long-term
30000,High,12.0,Stocks,Short-term
10000,Medium,7.0,Insurance,Short-term
20000,High,10.0,Insurance,Medium-term
15000,Medium,6.0,Real Estate,Long-term
25000,Medium,8.0,Mutual Funds,Long-term
25000,High,10.0,Mutual Funds,Long-term
30000,High,10.0,Insurance,Short-term
25000,Medium,8.0,Insurance,Medium-term
25000,High,12.0,Stocks,Short-term
30000,Low,3.0,Stocks,Long-term
5000,Medium,6.0,Real Estate,Short-term
15000,Medium,8.0,Mutual Funds,Medium-term
5000,Medium,6.0,Stocks,Long-term
15000,Medium,6.0,Mutual Funds,Medium-term
5000,High,15.0,Real Estate,Short-term
5000,Low,3.0,Stocks,Long-term
5000,High,15.0,Fixed Deposit,Short-term
15000,High,12.0,Mutual Funds,Long-term
10000,High,10.0,Real Estate,Short-term
25000,Medium,6.0,Real Estate,Short-term
10000,Low,5.0,Insurance,Long-term
30000,High,10.0,Real Estate,Long-term
10000,High,10.0,Insurance,Long-term
25000,Low,3.0,Mutual Funds,Short-term
25000,Medium,5.0,Fixed Deposit,Medium-term
25000,High,15.0,Fixed Deposit,Short-term
5000,High,15.0,Mutual Funds,Medium-term
10000,Medium,6.0,Stocks,Long-term
10000,High,12.0,Fixed Deposit,Long-term
25000,High,12.0,Stocks,Short-term
20000,Medium,6.0,Stocks,Short-term
30000,Low,4.5,Mutual Funds,Medium-term
25000,High,12.0,Mutual Funds,Medium-term
10000,Low,5.0,Stocks,Short-term
30000,High,12.0,Fixed Deposit,Long-term
10000,High,12.0,Stocks,Short-term
25000,Low,3.0,Mutual Funds,Medium-term
25000,High,10.0,Real Estate,Medium-term
5000,Low,4.0,Stocks,Short-term
15000,High,10.0,Insurance,Long-term
20000,High,12.0,Insurance,Medium-term
5000,Medium,7.0,Stocks,Medium-term
10000,Medium,7.0,Fixed Deposit,Medium-term
20000,Medium,8.0,Insurance,Medium-term
25000,Low,4.5,Insurance,Short-term
25000,High,10.0,Real Estate,Medium-term
5000,High,10.0,Insurance,Long-term
20000,High,15.0,Mutual Funds,Medium-term
20000,Low,3.0,Insurance,Medium-term
10000,Medium,6.0,Real Estate,Long-term
10000,Low,5.0,Stocks,Long-term
25000,High,12.0,Fixed Deposit,Medium-term
15000,Medium,7.0,Mutual Funds,Long-term
15000,Medium,5.0,Stocks,Short-term
15000,Low,5.0,Stocks,Medium-term
5000,Medium,6.0,Stocks,Long-term
25000,Medium,5.0,Fixed Deposit,Medium-term
30000,Medium,7.0,Insurance,Short-term
15000,Medium,6.0,Mutual Funds,Long-term
20000,High,12.0,Stocks,Short-term
30000,Medium,7.0,Fixed Deposit,Long-term
5000,Medium,6.0,Stocks,Short-term
15000,Medium,7.0,Real Estate,Long-term
10000,Low,4.0,Mutual Funds,Long-term
5000,Low,4.0,Stocks,Short-term
5000,High,12.0,Mutual Funds,Long-term
5000,Medium,5.0,Stocks,Long-term
25000,Low,4.5,Mutual Funds,Short-term
25000,Low,4.5,Fixed Deposit,Short-term
5000,High,10.0,Fixed Deposit,Medium-term
10000,Low,3.0,Fixed Deposit,Medium-term
10000,High,12.0,Insurance,Short-term
20000,Low,4.0,Stocks,Short-term
25000,Medium,7.0,Mutual Funds,Long-term
15000,Low,3.0,Insurance,Short-term
10000,Medium,8.0,Fixed Deposit,Long-term
30000,High,10.0,Mutual Funds,Short-term
5000,High,12.0,Real Estate,Long-term
20000,Low,3.0,Stocks,Short-term
10000,High,10.0,Mutual Funds,Medium-term
10000,Low,3.0,Mutual Funds,Long-term
10000,Low,4.5,Insurance,Medium-term
25000,Low,4.5,Insurance,Medium-term
15000,High,12.0,Mutual Funds,Short-term
20000,High,12.0,Stocks,Long-term
30000,Low,4.0,Real Estate,Medium-term
5000,High,12.0,Insurance,Short-term
25000,Medium,8.0,Stocks,Short-term
25000,Medium,8.0,Fixed Deposit,Long-term
10000,High,15.0,Insurance,Short-term
15000,Medium,6.0,Mutual Funds,Long-term
20000,High,12.0,Stocks,Short-term
20000,Low,3.0,Mutual Funds,Medium-term
20000,High,12.0,Real Estate,Short-term
30000,Medium,6.0,Fixed Deposit,Long-term
25000,High,12.0,Mutual Funds,Medium-term
30000,Low,5.0,Insurance,Medium-term
5000,High,15.0,Real Estate,Long-term
25000,Medium,6.0,Real Estate,Long-term
20000,Low,3.0,Mutual Funds,Short-term
30000,High,10.0,Real Estate,Long-term
5000,Low,3.0,Fixed Deposit,Medium-term
5000,Low,3.0,Stocks,Medium-term
20000,Medium,6.0,Insurance,Medium-term
15000,High,10.0,Fixed Deposit,Long-term
20000,High,12.0,Insurance,Long-term
5000,Low,4.0,Insurance,Medium-term
15000,Low,4.5,Fixed Deposit,Long-term
5000,Low,4.0,Insurance,Long-term
5000,Low,5.0,Mutual Funds,Medium-term
10000,High,15.0,Real Estate,Short-term
30000,Medium,5.0,Real Estate,Short-term
15000,Low,5.0,Fixed Deposit,Short-term
5000,Low,4.5,Fixed Deposit,Medium-term
30000,Low,5.0,Real Estate,Short-term
10000,Medium,7.0,Mutual Funds,Medium-term
30000,Low,4.5,Real Estate,Long-term
25000,Medium,8.0,Fixed Deposit,Medium-term
25000,High,15.0,Mutual Funds,Short-term
10000,Low,5.0,Insurance,Short-term
15000,High,12.0,Fixed Deposit,Long-term
20000,Medium,7.0,Real Estate,Short-term
25000,Medium,5.0,Stocks,Long-term
10000,High,12.0,Insurance,Medium-term
15000,High,15.0,Stocks,Long-term
30000,Medium,8.0,Mutual Funds,Medium-term
25000,High,10.0,Real Estate,Short-term
5000,Medium,7.0,Mutual Funds,Long-term
15000,Medium,6.0,Insurance,Long-term
30000,High,12.0,Real Estate,Long-term
30000,Low,4.0,Insurance,Short-term
20000,Medium,5.0,Insurance,Short-term
30000,High,15.0,Real Estate,Medium-term
25000,High,10.0,Insurance,Long-term
20000,Low,4.5,Mutual Funds,Medium-term
10000,Medium,8.0,Mutual Funds,Long-term
10000,Medium,6.0,Stocks,Short-term
5000,Low,4.5,Real Estate,Long-term
5000,Low,3.0,Stocks,Medium-term
15000,High,10.0,Mutual Funds,Long-term
25000,High,12.0,Real Estate,Medium-term
15000,Low,3.0,Insurance,Medium-term
10000,Medium,8.0,Stocks,Short-term
30000,Medium,6.0,Insurance,Medium-term
5000,High,12.0,Insurance,Short-term
30000,Low,4.5,Mutual Funds,Medium-term
5000,High,10.0,Stocks,Short-term
25000,High,12.0,Insurance,Short-term
10000,Low,3.0,Real Estate,Short-term
5000,Low,4.5,Real Estate,Short-term
10000,Low,5.0,Mutual Funds,Medium-term
15000,Medium,8.0,Real Estate,Long-term
15000,High,10.0,Fixed Deposit,Long-term
20000,High,10.0,Stocks,Long-term
20000,Medium,5.0,Real Estate,Medium-term
10000,Low,3.0,Insurance,Long-term
20000,High,15.0,Fixed Deposit,Medium-term
25000,Medium,5.0,Real Estate,Short-term
30000,High,10.0,Real Estate,Short-term
15000,Medium,8.0,Insurance,Long-term
10000,High,10.0,Stocks,Long-term
30000,Low,3.0,Insurance,Short-term
15000,High,10.0,Insurance,Long-term
30000,Medium,6.0,Real Estate,Short-term
10000,Low,4.5,Mutual Funds,Medium-term
30000,Low,3.0,Real Estate,Short-term
25000,High,12.0,Fixed Deposit,Long-term
5000,High,12.0,Fixed Deposit,Medium-term
30000,Medium,7.0,Real Estate,Short-term
15000,High,15.0,Fixed Deposit,Short-term
20000,Low,3.0,Mutual Funds,Medium-term
5000,High,10.0,Stocks,Long-term
5000,Medium,7.0,Insurance,Short-term
25000,High,12.0,Real Estate,Long-term
10000,Low,3.0,Insurance,Short-term
25000,Low,4.5,Insurance,Medium-term
30000,Medium,5.0,Real Estate,Short-term
30000,Low,4.0,Stocks,Medium-term
10000,Medium,8.0,Real Estate,Short-term
20000,Medium,5.0,Stocks,Short-term
25000,High,10.0,Real Estate,Long-term
15000,Medium,8.0,Mutual Funds,Long-term
5000,Medium,7.0,Insurance,Short-term
15000,Low,5.0,Fixed Deposit,Short-term
25000,High,10.0,Stocks,Long-term
5000,Low,3.0,Mutual Funds,Long-term
25000,High,12.0,Insurance,Medium-term
20000,Medium,5.0,Fixed Deposit,Long-term
20000,High,12.0,Insurance,Medium-term
10000,Low,3.0,Insurance,Short-term
5000,Low,4.5,Mutual Funds,Medium-term
5000,Medium,7.0,Real Estate,Long-term
30000,High,12.0,Fixed Deposit,Long-term
30000,Medium,8.0,Mutual Funds,Short-term
10000,Low,5.0,Fixed Deposit,Long-term
20000,High,15.0,Stocks,Short-term
5000,Low,5.0,Mutual Funds,Short-term
25000,High,15.0,Mutual Funds,Long-term
30000,Medium,7.0,Insurance,Medium-term
5000,High,12.0,Stocks,Medium-term
25000,Medium,5.0,Mutual Funds,Medium-term
10000,Medium,8.0,Mutual Funds,Medium-term
30000,High,12.0,Stocks,Short-term
5000,Medium,8.0,Insurance,Short-term
5000,Low,4.0,Insurance,Short-term
5000,High,12.0,Real Estate,Short-term
15000,Low,4.5,Mutual Funds,Medium-term
15000,High,12.0,Stocks,Short-term
5000,High,15.0,Mutual Funds,Short-term
10000,Medium,7.0,Real Estate,Long-term
25000,Medium,8.0,Mutual Funds,Medium-term
10000,Low,4.5,Fixed Deposit,Medium-term
10000,Medium,6.0,Real Estate,Medium-term
10000,Low,4.0,Stocks,Short-term
20000,Medium,5.0,Stocks,Medium-term
30000,Low,4.5,Real Estate,Short-term
25000,Medium,7.0,Fixed Deposit,Short-term
30000,High,12.0,Insurance,Short-term
30000,Low,5.0,Insurance,Medium-term
20000,Medium,5.0,Mutual Funds,Long-term
5000,High,12.0,Real Estate,Long-term
30000,Low,5.0,Insurance,Medium-term
5000,Medium,6.0,Stocks,Short-term
25000,High,10.0,Insurance,Medium-term
5000,High,12.0,Insurance,Long-term
5000,Medium,8.0,Insurance,Medium-term
15000,Medium,5.0,Mutual Funds,Short-term
15000,High,15.0,Insurance,Long-term
25000,High,10.0,Stocks,Long-term
10000,High,15.0,Fixed Deposit,Medium-term
5000,Low,4.5,Real Estate,Long-term
25000,Low,3.0,Real Estate,Long-term
20000,High,12.0,Fixed Deposit,Long-term
25000,Medium,7.0,Stocks,Short-term
15000,Medium,5.0,Stocks,Long-term
5000,High,15.0,Fixed Deposit,Medium-term
25000,Low,4.0,Mutual Funds,Long-term
20000,Medium,5.0,Real Estate,Long-term
10000,Medium,5.0,Insurance,Short-term
10000,High,12.0,Insurance,Short-term
30000,Low,4.0,Insurance,Medium-term
25000,High,12.0,Real Estate,Short-term
15000,High,10.0,Fixed Deposit,Long-term
15000,Medium,7.0,Stocks,Short-term
30000,Medium,7.0,Real Estate,Long-term
5000,High,12.0,Real Estate,Medium-term
25000,Medium,7.0,Mutual Funds,Long-term
25000,Medium,5.0,Fixed Deposit,Medium-term
25000,Low,3.0,Mutual Funds,Long-term
25000,Medium,7.0,Insurance,Long-term
20000,High,10.0,Fixed Deposit,Long-term
25000,Low,3.0,Insurance,Short-term
5000,High,15.0,Insurance,Long-term
25000,Low,5.0,Stocks,Long-term
30000,Medium,7.0,Insurance,Medium-term
20000,Medium,6.0,Fixed Deposit,Short-term
20000,High,15.0,Stocks,Medium-term
15000,Low,4.5,Insurance,Long-term
25000,Low,3.0,Real Estate,Medium-term
30000,High,12.0,Stocks,Short-term
25000,Medium,8.0,Insurance,Long-term
25000,High,10.0,Mutual Funds,Medium-term
30000,High,12.0,Stocks,Long-term
10000,High,15.0,Fixed Deposit,Medium-term
5000,Low,3.0,Mutual Funds,Short-term
5000,High,15.0,Stocks,Medium-term
30000,High,10.0,Mutual Funds,Long-term
20000,Medium,6.0,Mutual Funds,Medium-term
20000,Low,5.0,Stocks,Medium-term
10000,High,15.0,Mutual Funds,Long-term
25000,High,15.0,Real Estate,Medium-term
25000,High,12.0,Fixed Deposit,Medium-term
20000,Low,5.0,Stocks,Long-term
5000,High,10.0,Stocks,Short-term
15000,Medium,6.0,Insurance,Long-term
5000,High,12.0,Stocks,Medium-term
10000,High,10.0,Insurance,Medium-term
5000,Medium,6.0,Insurance,Medium-term
10000,Low,5.0,Insurance,Short-term
20000,Medium,6.0,Fixed Deposit,Medium-term
20000,Low,4.5,Insurance,Short-term
5000,Medium,6.0,Fixed Deposit,Long-term
25000,High,15.0,Fixed Deposit,Medium-term
15000,High,15.0,Mutual Funds,Medium-term
15000,Low,3.0,Real Estate,Medium-term
25000,Low,3.0,Mutual Funds,Short-term
20000,High,12.0,Mutual Funds,Short-term
20000,High,12.0,Mutual Funds,Long-term
10000,Low,3.0,Insurance,Short-term
10000,Low,3.0,Real Estate,Long-term
20000,Medium,8.0,Real Estate,Medium-term
15000,High,15.0,Stocks,Short-term
5000,Low,5.0,Mutual Funds,Medium-term
30000,Low,4.5,Real Estate,Medium-term
10000,Medium,8.0,Insurance,Short-term
30000,High,10.0,Real Estate,Long-term
30000,High,10.0,Fixed Deposit,Short-term
5000,Low,4.5,Real Estate,Long-term
5000,High,12.0,Mutual Funds,Short-term
25000,High,10.0,Real Estate,Long-term
20000,Low,4.5,Insurance,Long-term
30000,Low,5.0,Insurance,Long-term
10000,Medium,5.0,Fixed Deposit,Medium-term
20000,Low,4.5,Mutual Funds,Long-term
25000,Low,4.0,Mutual Funds,Medium-term
5000,High,12.0,Fixed Deposit,Long-term
20000,High,12.0,Real Estate,Short-term
30000,Medium,6.0,Real Estate,Medium-term
25000,High,10.0,Real Estate,Long-term
5000,High,15.0,Insurance,Medium-term
5000,Low,4.0,Insurance,Medium-term
10000,High,15.0,Real Estate,Short-term
30000,Low,5.0,Mutual Funds,Short-term
10000,High,12.0,Fixed Deposit,Long-term
15000,Low,4.5,Stocks,Medium-term
15000,High,15.0,Fixed Deposit,Long-term
15000,Medium,5.0,Stocks,Long-term
5000,Low,4.0,Real Estate,Medium-term
10000,Medium,6.0,Real Estate,Medium-term
30000,Medium,6.0,Fixed Deposit,Short-term
25000,High,12.0,Insurance,Long-term
5000,High,15.0,Insurance,Medium-term
10000,High,10.0,Insurance,Short-term
10000,High,15.0,Insurance,Long-term
20000,High,10.0,Stocks,Short-term
15000,High,12.0,Mutual Funds,Short-term
15000,High,12.0,Real Estate,Short-term
30000,High,15.0,Real Estate,Medium-term
20000,High,12.0,Real Estate,Short-term
20000,High,15.0,Stocks,Medium-term
30000,Medium,7.0,Stocks,Long-term
20000,Medium,8.0,Stocks,Medium-term
10000,Medium,8.0,Real Estate,Medium-term
25000,Medium,6.0,Stocks,Medium-term
25000,Medium,8.0,Insurance,Medium-term
30000,High,15.0,Real Estate,Short-term
25000,Low,3.0,Stocks,Short-term
10000,Medium,8.0,Insurance,Short-term
15000,High,12.0,Stocks,Medium-term
25000,Medium,7.0,Fixed Deposit,Medium-term
5000,Low,5.0,Mutual Funds,Medium-term
30000,High,10.0,Real Estate,Short-term
30000,Medium,7.0,Fixed Deposit,Short-term
15000,Low,4.5,Real Estate,Short-term
5000,Medium,6.0,Real Estate,Long-term
30000,Medium,6.0,Fixed Deposit,Medium-term
25000,Medium,6.0,Insurance,Short-term
30000,Low,5.0,Mutual Funds,Short-term
25000,High,12.0,Fixed Deposit,Medium-term
20000,Medium,7.0,Real Estate,Short-term
20000,High,15.0,Fixed Deposit,Long-term
10000,High,10.0,Insurance,Medium-term
5000,High,15.0,Mutual Funds,Medium-term
15000,High,10.0,Insurance,Medium-term
20000,Medium,7.0,Fixed Deposit,Long-term
30000,Medium,5.0,Fixed Deposit,Long-term
30000,High,15.0,Real Estate,Medium-term
5000,Low,5.0,Insurance,Short-term
25000,High,10.0,Real Estate,Short-term
10000,High,10.0,Fixed Deposit,Long-term
5000,High,10.0,Real Estate,Short-term
25000,Medium,7.0,Insurance,Medium-term
10000,High,12.0,Insurance,Short-term
15000,Low,5.0,Fixed Deposit,Long-term
30000,High,12.0,Real Estate,Long-term
15000,Low,3.0,Fixed Deposit,Long-term
15000,Low,4.0,Insurance,Long-term
15000,Medium,8.0,Mutual Funds,Short-term
10000,Low,5.0,Mutual Funds,Short-term
30000,Medium,7.0,Fixed Deposit,Medium-term
15000,High,10.0,Stocks,Long-term
25000,Medium,6.0,Real Estate,Long-term
10000,Low,4.0,Stocks,Short-term
10000,High,15.0,Fixed Deposit,Short-term
5000,High,10.0,Stocks,Short-term
15000,High,15.0,Fixed Deposit,Medium-term
5000,High,10.0,Fixed Deposit,Short-term
25000,High,10.0,Real Estate,Medium-term
5000,High,15.0,Insurance,Long-term
25000,Medium,7.0,Real Estate,Medium-term
5000,Low,5.0,Mutual Funds,Short-term
10000,High,15.0,Real Estate,Short-term
30000,Low,4.5,Stocks,Medium-term
5000,Low,4.5,Fixed Deposit,Medium-term
10000,Low,4.5,Real Estate,Short-term
25000,Medium,6.0,Insurance,Short-term
15000,Low,4.5,Real Estate,Short-term
20000,High,12.0,Mutual Funds,Long-term
5000,High,10.0,Stocks,Long-term
20000,High,12.0,Fixed Deposit,Medium-term
30000,Low,4.0,Stocks,Long-term
25000,Medium,8.0,Mutual Funds,Medium-term
10000,Low,4.0,Real Estate,Short-term
25000,Low,4.0,Stocks,Medium-term
30000,Low,4.5,Stocks,Short-term
5000,Low,4.5,Stocks,Medium-term
10000,Low,5.0,Stocks,Short-term
20000,Medium,6.0,Stocks,Long-term
10000,Low,4.5,Insurance,Long-term
10000,Medium,8.0,Insurance,Long-term
15000,Low,5.0,Stocks,Long-term
25000,Medium,6.0,Real Estate,Medium-term
10000,High,12.0,Mutual Funds,Short-term
10000,High,15.0,Real Estate,Medium-term
25000,Medium,8.0,Fixed Deposit,Short-term
15000,Low,4.5,Mutual Funds,Medium-term
25000,High,15.0,Mutual Funds,Long-term
30000,High,10.0,Stocks,Medium-term
30000,Medium,5.0,Real Estate,Medium-term
20000,Medium,5.0,Fixed Deposit,Long-term
15000,High,12.0,Fixed Deposit,Long-term
30000,Medium,7.0,Fixed Deposit,Short-term
5000,Medium,8.0,Insurance,Short-term
10000,High,15.0,Fixed Deposit,Short-term
10000,Medium,6.0,Stocks,Short-term
15000,Low,5.0,Real Estate,Medium-term
10000,Low,5.0,Real Estate,Short-term
10000,High,12.0,Mutual Funds,Medium-term
5000,Low,5.0,Fixed Deposit,Long-term
10000,Medium,6.0,Real Estate,Medium-term
10000,High,12.0,Insurance,Long-term
25000,Low,4.0,Mutual Funds,Short-term
25000,Low,5.0,Fixed Deposit,Medium-term
10000,High,10.0,Mutual Funds,Short-term
5000,High,12.0,Real Estate,Short-term
30000,Medium,7.0,Insurance,Long-term
20000,Low,5.0,Insurance,Medium-term
25000,Medium,7.0,Fixed Deposit,Short-term
20000,Medium,7.0,Mutual Funds,Medium-term
20000,Low,5.0,Mutual Funds,Short-term
5000,Medium,7.0,Fixed Deposit,Long-term
30000,Low,3.0,Real Estate,Medium-term
15000,High,12.0,Stocks,Long-term
30000,Low,4.5,Mutual Funds,Medium-term
20000,Medium,6.0,Insurance,Short-term
30000,High,12.0,Real Estate,Long-term
20000,Medium,5.0,Stocks,Short-term
30000,High,12.0,Insurance,Medium-term
25000,High,15.0,Insurance,Medium-term
20000,Low,4.0,Real Estate,Short-term
5000,Low,4.5,Stocks,Medium-term
25000,Medium,8.0,Real Estate,Long-term
30000,Low,4.5,Real Estate,Short-term
20000,Medium,5.0,Stocks,Long-term
15000,Medium,6.0,Mutual Funds,Long-term
10000,Medium,5.0,Fixed Deposit,Short-term
25000,Low,4.0,Insurance,Medium-term
10000,High,12.0,Fixed Deposit,Short-term
20000,High,10.0,Insurance,Medium-term
5000,Low,5.0,Real Estate,Medium-term
30000,Low,4.5,Mutual Funds,Medium-term
30000,High,10.0,Real Estate,Long-term
30000,Low,4.0,Insurance,Medium-term
5000,Medium,8.0,Mutual Funds,Medium-term
15000,Medium,7.0,Mutual Funds,Medium-term
20000,Medium,8.0,Fixed Deposit,Medium-term
10000,Medium,6.0,Fixed Deposit,Long-term
20000,High,12.0,Fixed Deposit,Medium-term
15000,High,15.0,Fixed Deposit,Long-term
10000,Low,3.0,Stocks,Long-term
30000,Low,3.0,Real Estate,Short-term
25000,High,15.0,Insurance,Short-term
30000,Medium,8.0,Mutual Funds,Long-term
20000,High,15.0,Insurance,Short-term
25000,Low,4.0,Mutual Funds,Short-term
20000,High,10.0,Stocks,Short-term
10000,Low,5.0,Insurance,Medium-term
20000,Low,4.5,Stocks,Short-term
20000,Low,3.0,Insurance,Short-term
30000,High,12.0,Insurance,Medium-term
5000,High,10.0,Fixed Deposit,Medium-term
15000,Low,4.0,Real Estate,Short-term
10000,Low,4.5,Fixed Deposit,Short-term
5000,High,12.0,Insurance,Short-term
20000,Medium,8.0,Real Estate,Medium-term
15000,High,12.0,Real Estate,Short-term
5000,Medium,6.0,Real Estate,Long-term
5000,Low,3.0,Real Estate,Short-term
20000,Medium,6.0,Real Estate,Long-term
25000,Low,4.0,Insurance,Long-term
5000,Medium,7.0,Fixed Deposit,Short-term
10000,High,10.0,Real Estate,Long-term
20000,Low,3.0,Stocks,Short-term
30000,High,15.0,Mutual Funds,Long-term
5000,Medium,8.0,Stocks,Medium-term
10000,Low,5.0,Real Estate,Short-term
20000,High,10.0,Insurance,Long-term
5000,Low,3.0,Insurance,Long-term
25000,High,15.0,Fixed Deposit,Long-term
30000,High,12.0,Insurance,Medium-term
5000,High,10.0,Real Estate,Long-term
10000,Medium,5.0,Real Estate,Long-term
15000,Low,5.0,Mutual Funds,Long-term
20000,High,15.0,Insurance,Medium-term
10000,Low,3.0,Stocks,Long-term
10000,Low,4.0,Real Estate,Long-term
10000,Low,3.0,Mutual Funds,Short-term
5000,Medium,6.0,Insurance,Short-term
10000,Medium,7.0,Stocks,Medium-term
10000,High,15.0,Real Estate,Short-term
15000,Low,5.0,Stocks,Short-term
15000,Medium,6.0,Mutual Funds,Short-term
10000,Low,4.0,Fixed Deposit,Long-term
25000,Low,4.5,Real Estate,Medium-term
10000,High,15.0,Insurance,Short-term
15000,High,15.0,Fixed Deposit,Medium-term
20000,Medium,7.0,Fixed Deposit,Short-term
30000,Low,3.0,Real Estate,Short-term
10000,Medium,7.0,Insurance,Short-term
25000,Medium,8.0,Stocks,Short-term
25000,Low,3.0,Fixed Deposit,Long-term
20000,Low,3.0,Fixed Deposit,Long-term
5000,Medium,8.0,Mutual Funds,Short-term
5000,High,12.0,Fixed Deposit,Medium-term
5000,Low,4.5,Fixed Deposit,Short-term
30000,High,15.0,Stocks,Medium-term
10000,Low,4.5,Stocks,Long-term
20000,Low,5.0,Stocks,Medium-term
10000,Low,4.5,Stocks,Long-term
20000,Medium,5.0,Real Estate,Long-term
10000,Medium,5.0,Real Estate,Short-term
25000,Low,4.0,Stocks,Short-term
30000,Medium,7.0,Insurance,Medium-term
10000,Medium,5.0,Insurance,Medium-term
20000,Low,4.0,Real Estate,Short-term
5000,High,10.0,Mutual Funds,Short-term
30000,Low,4.5,Stocks,Medium-term
20000,Low,3.0,Real Estate,Short-term
25000,Medium,6.0,Fixed Deposit,Medium-term
30000,Medium,8.0,Insurance,Medium-term
10000,Medium,6.0,Fixed Deposit,Short-term
15000,Medium,5.0,Mutual Funds,Medium-term
30000,High,15.0,Insurance,Medium-term
15000,High,10.0,Insurance,Short-term
5000,High,15.0,Real Estate,Long-term
5000,High,10.0,Insurance,Long-term
30000,Medium,6.0,Mutual Funds,Long-term
10000,Medium,5.0,Fixed Deposit,Long-term
15000,Low,4.5,Real Estate,Long-term
15000,High,12.0,Mutual Funds,Long-term
10000,High,12.0,Mutual Funds,Medium-term
25000,Medium,5.0,Fixed Deposit,Medium-term
20000,Low,3.0,Real Estate,Long-term
25000,Medium,5.0,Stocks,Long-term
20000,Low,5.0,Real Estate,Short-term
30000,High,12.0,Real Estate,Long-term
25000,Low,4.0,Insurance,Short-term
10000,Low,4.5,Mutual Funds,Long-term
15000,Low,4.0,Stocks,Medium-term
5000,High,12.0,Stocks,Long-term
20000,High,12.0,Real Estate,Long-term
15000,Low,5.0,Mutual Funds,Long-term
20000,High,12.0,Stocks,Long-term
20000,Low,5.0,Fixed Deposit,Short-term
10000,High,10.0,Fixed Deposit,Short-term
15000,High,12.0,Mutual Funds,Long-term
30000,High,10.0,Fixed Deposit,Medium-term
30000,Low,3.0,Fixed Deposit,Long-term
10000,High,10.0,Stocks,Medium-term
30000,High,10.0,Stocks,Long-term
30000,Medium,5.0,Stocks,Medium-term
5000,High,12.0,Fixed Deposit,Short-term
20000,Medium,5.0,Real Estate,Long-term
25000,Medium,7.0,Fixed Deposit,Long-term
5000,Medium,8.0,Mutual Funds,Short-term
20000,Low,3.0,Real Estate,Long-term
20000,Medium,8.0,Insurance,Medium-term
5000,Low,4.0,Mutual Funds,Short-term
25000,Low,4.5,Stocks,Long-term
20000,High,10.0,Fixed Deposit,Long-term
25000,High,10.0,Real Estate,Short-term
5000,High,12.0,Insurance,Long-term
25000,Low,4.0,Insurance,Long-term
15000,Medium,6.0,Stocks,Medium-term
15000,Medium,8.0,Fixed Deposit,Long-term
25000,Medium,8.0,Mutual Funds,Long-term
5000,Low,5.0,Real Estate,Medium-term
10000,High,12.0,Mutual Funds,Long-term
10000,High,15.0,Stocks,Short-term
5000,Medium,5.0,Real Estate,Short-term
15000,High,10.0,Fixed Deposit,Long-term
25000,High,15.0,Real Estate,Medium-term
30000,Medium,7.0,Mutual Funds,Medium-term
15000,Medium,8.0,Real Estate,Long-term
20000,Medium,8.0,Mutual Funds,Short-term
20000,High,12.0,Stocks,Short-term
20000,Medium,5.0,Mutual Funds,Medium-term
15000,Low,4.5,Fixed Deposit,Long-term
5000,High,10.0,Insurance,Short-term
25000,Low,4.0,Stocks,Medium-term
30000,Low,4.0,Stocks,Short-term
15000,Medium,8.0,Fixed Deposit,Long-term
15000,High,15.0,Real Estate,Long-term
5000,Low,5.0,Stocks,Long-term
25000,High,10.0,Real Estate,Short-term
25000,Low,4.0,Fixed Deposit,Short-term
15000,Low,4.0,Stocks,Long-term
20000,Low,4.0,Mutual Funds,Medium-term
30000,Medium,8.0,Mutual Funds,Medium-term
5000,High,12.0,Stocks,Long-term
5000,Low,5.0,Stocks,Short-term
30000,Medium,5.0,Mutual Funds,Medium-term
5000,Medium,7.0,Stocks,Medium-term
15000,High,15.0,Fixed Deposit,Medium-term
10000,Low,4.0,Mutual Funds,Medium-term
10000,Low,5.0,Mutual Funds,Long-term
25000,Low,5.0,Fixed Deposit,Medium-term
5000,Low,3.0,Fixed Deposit,Long-term
5000,Low,4.5,Insurance,Medium-term
10000,Low,3.0,Fixed Deposit,Short-term
10000,High,10.0,Stocks,Long-term
25000,High,10.0,Insurance,Medium-term
10000,Medium,5.0,Real Estate,Long-term
5000,Low,3.0,Mutual Funds,Medium-term
5000,Medium,5.0,Insurance,Medium-term
10000,High,10.0,Fixed Deposit,Long-term
25000,Low,3.0,Fixed Deposit,Long-term
